ds,y
2023-01-24,340
2023-01-25,820
2023-01-26,1810
2023-01-27,855
2023-01-28,800
2023-01-29,350
2023-01-30,1210
2023-01-31,740
2023-02-01,950
2023-02-02,440
2023-02-03,1760
2023-02-04,1200
2023-02-05,2165
2023-02-06,500
2023-02-07,1620
2023-02-08,900
2023-02-09,300
2023-02-10,625
2023-02-11,250
2023-02-12,200
2023-02-13,2240
2023-02-14,540
2023-02-15,1370
2023-02-16,650
2023-02-17,880
2023-02-18,600
2023-02-19,300
2023-02-20,840
2023-02-21,960
2023-02-22,850
2023-02-23,1155
2023-02-24,1070
2023-02-25,490
2023-02-26,1090
2023-02-27,1330
2023-02-28,320
2023-03-01,1935
2023-03-02,1120
2023-03-03,830
2023-03-04,780
2023-03-05,420
2023-03-06,420
2023-03-07,240
2023-03-08,780
2023-03-09,2230
2023-03-10,590
2023-03-11,160
2023-03-12,80
2023-03-13,1400
2023-03-14,970
2023-03-15,1730
2023-03-16,1030
2023-03-17,750
2023-03-18,835
2023-03-19,3350
2023-03-20,360
2023-03-21,480
2023-03-22,240
2023-03-23,990
2023-03-24,80
2023-03-25,840
2023-03-26,280
2023-03-27,1040
2023-03-29,1080
2023-03-30,350
